Job_title,Job_link,Company,Location,Expiration_date
Assistant Technique International,http://www.mediacongo.net/emploi-societe-18346.html,UC-PIF,Kinshasa,01.06.2016
Chargé de la Logistique et Sécurité,http://www.mediacongo.net/emploi-societe-18345.html,WCS,Bukavu,01.06.2016
Chauffeur-Mécanicien,http://www.mediacongo.net/emploi-societe-18344.html,WCS,Bukavu,01.06.2016
Entreprise development specialist,http://www.mediacongo.net/emploi-societe-18343.html,WCS,Bukavu,01.06.2016
"Consultant individuel, Expert en suivi & évaluation du projet d'aménagement de la route Batshamba-Tshikapa, section Pont Lovua-Tshikapa",http://www.mediacongo.net/emploi-societe-18342.html,Cellule Infrastructures,Kinshasa,01.06.2016
Agent chargé de Billetterie et Réservation,http://www.mediacongo.net/emploi-societe-18340.html,Kenya Airways,Kinshasa,01.06.2016
Assistant Technique International,http://www.mediacongo.net/emploi-societe-18346.html,UC-PIF,Kinshasa,01.06.2016
Chargé de la Logistique et Sécurité,http://www.mediacongo.net/emploi-societe-18345.html,WCS,Bukavu,01.06.2016
Chauffeur-Mécanicien,http://www.mediacongo.net/emploi-societe-18344.html,WCS,Bukavu,01.06.2016
Entreprise development specialist,http://www.mediacongo.net/emploi-societe-18343.html,WCS,Bukavu,01.06.2016
"Consultant individuel, Expert en suivi & évaluation du projet d'aménagement de la route Batshamba-Tshikapa, section Pont Lovua-Tshikapa",http://www.mediacongo.net/emploi-societe-18342.html,Cellule Infrastructures,Kinshasa,01.06.2016
Agent chargé de Billetterie et Réservation,http://www.mediacongo.net/emploi-societe-18340.html,Kenya Airways,Kinshasa,01.06.2016
Consultant pour le développement de la stratégie de gestion du paysage,http://www.mediacongo.net/emploi-societe-18350.html,WWF,"Lac Télé, Lac Tumba",02.06.2016
Plusieurs postes,http://www.mediacongo.net/emploi-societe-18349.html,Chemonics,Mbuji-Mayi et Kananga,02.06.2016
Plusieurs postes,http://www.mediacongo.net/emploi-societe-18348.html,Chemonics,Kinshasa,02.06.2016
Consultant pour le développement de la stratégie de gestion du paysage,http://www.mediacongo.net/emploi-societe-18350.html,WWF,"Lac Télé, Lac Tumba",02.06.2016
Plusieurs postes,http://www.mediacongo.net/emploi-societe-18348.html,Chemonics,Kinshasa,02.06.2016
"Conseiller Provincial chargé du Suivi, Évaluation et Apprentissage (SEA)",http://www.mediacongo.net/emploi-societe-18361.html,JSI/USAID,Kisangani,03.06.2016
"Conseiller Provincial chargé du Suivi, Évaluation et Apprentissage (SEA)",http://www.mediacongo.net/emploi-societe-18361.html,JSI/USAID,Kisangani,03.06.2016
Plusieurs postes,http://www.mediacongo.net/emploi-societe-18371.html,Cambridge Education,Kinshasa,06.06.2016
Assistant(e) chargé(e) de Mobilisation Communautaire,http://www.mediacongo.net/emploi-societe-18370.html,Pact,Kinshasa,06.06.2016
Soixante-dix (70) opérateurs SIG pour les travaux cartographiques du RGPH2,http://www.mediacongo.net/emploi-societe-18369.html,BCECO,Kinshasa,06.06.2016
"Consultant chargé de la recherche sur le suivi de consommation du budget alloué à la santé au niveau communautaire en 2013, 2014 et 2015",http://www.mediacongo.net/emploi-societe-18368.html,World Vision,Kinshasa,06.06.2016
Plusieurs postes,http://www.mediacongo.net/emploi-societe-18371.html,Cambridge Education,Kinshasa,06.06.2016
Assistant(e) chargé(e) de Mobilisation Communautaire,http://www.mediacongo.net/emploi-societe-18370.html,Pact,Kinshasa,06.06.2016
Soixante-dix (70) opérateurs SIG pour les travaux cartographiques du RGPH2,http://www.mediacongo.net/emploi-societe-18369.html,BCECO,Kinshasa,06.06.2016
"Consultant chargé de la recherche sur le suivi de consommation du budget alloué à la santé au niveau communautaire en 2013, 2014 et 2015",http://www.mediacongo.net/emploi-societe-18368.html,World Vision,Kinshasa,06.06.2016
"Consultant Genre, partenariat stratégique",http://www.mediacongo.net/emploi-societe-18367.html,Oxfam,,06.06.2016
Consultant(e)s (Un international et Un national) afin de réaliser l’étude diagnostique sur les systèmes et les capacités nationales en matière de suivi-évaluation,http://www.mediacongo.net/emploi-societe-18374.html,PNUD,Kinshasa,07.06.2016
Chef de département crédit,http://www.mediacongo.net/emploi-societe-18373.html,i-Finance,Kinshasa,07.06.2016
Consultant(e)s (Un international et Un national) afin de réaliser l’étude diagnostique sur les systèmes et les capacités nationales en matière de suivi-évaluation,http://www.mediacongo.net/emploi-societe-18374.html,PNUD,Kinshasa,07.06.2016
Chef de département crédit,http://www.mediacongo.net/emploi-societe-18373.html,i-Finance,Kinshasa,07.06.2016
Chef de projet,http://www.mediacongo.net/emploi-societe-18386.html,WWF,Mushie (Maï-Ndombe),08.06.2016
